Date,SampleSize,Cohort
2016-11-09,4,Popart-Zambia-Central
2016-10-12,5,Popart-Zambia-Central
2016-10-17,3,Popart-Zambia-Central
2016-10-26,2,Popart-Zambia-Central
2016-10-27,5,Popart-Zambia-Central
2016-10-11,4,Popart-Zambia-Central
2016-11-02,2,Popart-Zambia-Central
2016-11-08,5,Popart-Zambia-Central
2016-10-06,4,Popart-Zambia-Central
2016-10-21,2,Popart-Zambia-Central
2016-10-31,3,Popart-Zambia-Central
2016-10-25,5,Popart-Zambia-Central
2016-10-19,2,Popart-Zambia-Central
2016-07-06,1,Popart-Zambia-Central
2016-11-04,2,Popart-Zambia-Central
2016-11-07,2,Popart-Zambia-Central
2016-10-28,1,Popart-Zambia-Central
2016-08-05,5,Popart-Zambia-Copperbelt
2016-07-25,6,Popart-Zambia-Copperbelt
2016-07-26,2,Popart-Zambia-Copperbelt
2016-08-10,5,Popart-Zambia-Copperbelt
2016-07-20,2,Popart-Zambia-Copperbelt
2016-08-09,12,Popart-Zambia-Copperbelt
2016-07-21,2,Popart-Zambia-Copperbelt
2016-08-02,8,Popart-Zambia-Copperbelt
2016-08-18,3,Popart-Zambia-Copperbelt
2016-08-15,8,Popart-Zambia-Copperbelt
2016-08-16,5,Popart-Zambia-Copperbelt
2016-08-19,7,Popart-Zambia-Copperbelt
2016-08-08,5,Popart-Zambia-Copperbelt
2016-07-27,4,Popart-Zambia-Copperbelt
2016-08-04,2,Popart-Zambia-Copperbelt
2016-07-29,3,Popart-Zambia-Copperbelt
2016-08-03,1,Popart-Zambia-Copperbelt
2016-08-24,5,Popart-Zambia-Copperbelt
2016-08-25,7,Popart-Zambia-Copperbelt
2016-09-01,4,Popart-Zambia-Copperbelt
2016-09-02,6,Popart-Zambia-Copperbelt
2016-08-22,9,Popart-Zambia-Copperbelt
2016-08-23,9,Popart-Zambia-Copperbelt
2016-09-07,4,Popart-Zambia-Copperbelt
2016-08-26,2,Popart-Zambia-Copperbelt
2016-09-05,6,Popart-Zambia-Copperbelt
2016-08-29,6,Popart-Zambia-Copperbelt
2016-08-30,4,Popart-Zambia-Copperbelt
2016-09-12,5,Popart-Zambia-Copperbelt
2016-08-17,2,Popart-Zambia-Copperbelt
2016-09-15,5,Popart-Zambia-Copperbelt
2016-09-19,6,Popart-Zambia-Copperbelt
2016-09-14,7,Popart-Zambia-Copperbelt
2016-09-20,4,Popart-Zambia-Copperbelt
2016-09-21,6,Popart-Zambia-Copperbelt
2016-09-30,6,Popart-Zambia-Copperbelt
2016-10-03,3,Popart-Zambia-Copperbelt
2016-08-31,4,Popart-Zambia-Copperbelt
2016-09-06,4,Popart-Zambia-Copperbelt
2016-09-09,6,Popart-Zambia-Copperbelt
2016-09-22,6,Popart-Zambia-Copperbelt
2016-09-23,3,Popart-Zambia-Copperbelt
2016-09-26,14,Popart-Zambia-Copperbelt
2016-09-27,17,Popart-Zambia-Copperbelt
2016-11-01,7,Popart-Zambia-Copperbelt
2016-10-31,4,Popart-Zambia-Copperbelt
2016-11-02,1,Popart-Zambia-Copperbelt
2016-11-08,12,Popart-Zambia-Copperbelt
2016-11-09,16,Popart-Zambia-Copperbelt
2016-11-10,7,Popart-Zambia-Copperbelt
2016-11-11,4,Popart-Zambia-Copperbelt
2016-10-04,8,Popart-Zambia-Copperbelt
2016-10-05,9,Popart-Zambia-Copperbelt
2016-10-06,9,Popart-Zambia-Copperbelt
2016-10-19,12,Popart-Zambia-Copperbelt
2016-10-20,6,Popart-Zambia-Copperbelt
2016-10-25,11,Popart-Zambia-Copperbelt
2016-10-27,11,Popart-Zambia-Copperbelt
2016-10-26,5,Popart-Zambia-Copperbelt
2016-11-03,3,Popart-Zambia-Copperbelt
2016-11-04,2,Popart-Zambia-Copperbelt
2016-11-07,7,Popart-Zambia-Copperbelt
2016-10-07,5,Popart-Zambia-Copperbelt
2016-10-10,5,Popart-Zambia-Copperbelt
2016-10-11,4,Popart-Zambia-Copperbelt
2016-10-12,12,Popart-Zambia-Copperbelt
2016-10-14,5,Popart-Zambia-Copperbelt
2016-10-17,6,Popart-Zambia-Copperbelt
2016-11-14,9,Popart-Zambia-Copperbelt
2016-11-21,5,Popart-Zambia-Copperbelt
2016-11-29,7,Popart-Zambia-Copperbelt
2016-12-02,3,Popart-Zambia-Copperbelt
2016-12-07,3,Popart-Zambia-Copperbelt
